endpoint,operation,data_size,time
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,6
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,7
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,7
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,14
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,6
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,8
client,digest,64,6
server,verify,64,7
server,digest,64,5
client,verify,64,7
client,digest,64,5
server,verify,64,8
server,digest,64,5
client,verify,64,7
client,digest,64,6
server,verify,64,7
server,digest,64,4
client,verify,64,6
client,digest,64,5
server,verify,64,5
server,digest,64,8
client,verify,64,8
client,digest,64,5
server,verify,64,5
server,digest,64,7
client,verify,64,6
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,6
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,7
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,7
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,14
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,6
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,7
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,7
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,6
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,7
client,digest,64,5
server,verify,64,8
server,digest,64,4
client,verify,64,6
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,6
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,6
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,6
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,7
server,digest,64,5
client,verify,64,5
client,digest,64,6
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,7
server,digest,64,5
client,verify,64,8
client,digest,64,5
server,verify,64,7
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,7
server,digest,64,4
client,verify,64,7
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,7
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,6
client,digest,96,5
server,verify,96,6
server,digest,96,5
client,verify,96,6
client,digest,96,4
server,verify,96,7
server,digest,96,7
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,7
client,digest,96,5
server,verify,96,5
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,4
client,verify,96,5
client,digest,96,4
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,5
server,digest,96,6
client,verify,96,6
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,6
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,6
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,7
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,6
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,15
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,6
server,verify,96,14
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,6
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,6
client,digest,96,4
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,14
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,6
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,4
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,4
client,digest,96,4
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,6
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,15
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,4
client,verify,96,4
client,digest,96,6
server,verify,96,5
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,4
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,4
server,verify,96,5
server,digest,96,5
client,verify,96,6
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,4
client,digest,96,4
server,verify,96,5
server,digest,96,4
client,verify,96,4
client,digest,96,5
server,verify,96,7
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,15
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,6
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,4
client,verify,96,5
client,digest,96,5
server,verify,96,14
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,4
server,digest,96,5
client,verify,96,5
client,digest,96,5
server,verify,96,5
server,digest,96,4
client,verify,96,5
client,digest,96,5
