endpoint,operation,data_size,time
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,9
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,9
server,verify,32,10
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,9
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,12
server,verify,32,14
server,digest,32,11
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,9
client,verify,32,10
client,digest,32,9
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,12
client,verify,32,10
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,9
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
