endpoint,operation,data_size,time
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,2
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,2
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,2
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,6
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,12
client,encrypt,48,3
server,decrypt,48,6
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,7
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,6
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,6
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,9
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,2
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,7
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,21
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,2
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,9
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,9
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,6
client,encrypt,48,5
server,decrypt,48,7
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,22
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,10
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,6
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,7
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,5
client,decrypt,48,7
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,6
server,encrypt,48,4
client,decrypt,48,6
client,encrypt,48,2
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,6
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,5
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,8
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,2
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,6
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,2
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,2
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,4
client,encrypt,48,5
server,decrypt,48,5
server,encrypt,48,2
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,6
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,4
client,encrypt,48,5
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,2
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,4
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,4
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,4
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,4
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
server,encrypt,48,3
client,decrypt,48,5
client,encrypt,48,3
server,decrypt,48,5
